requirement_id,source,delivery_goals,acceptance_family,planned_test_id,status,implementation_evidence,verification_evidence,notes
"SEC-INF-003","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-003","Specified","","",""
"SEC-INF-004","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-004","Specified","","",""
"SEC-INF-005","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-005","Specified","","",""
"SEC-INF-006","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-006","Specified","","",""
"SEC-INF-007","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-007","Specified","","",""
"SEC-INF-008","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-008","Specified","","",""
"SEC-INF-009","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-009","Specified","","",""
"SEC-INF-010","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-010","Specified","","",""
"SEC-INF-011","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-011","Specified","","",""
"SEC-INF-012","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-012","Specified","","",""
"SEC-INF-013","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-013","Specified","","",""
"SEC-INF-014","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-014","Specified","","",""
"SEC-INF-015","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-015","Specified","","",""
"SEC-INF-016","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-016","Specified","","",""
"SEC-INF-017","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-017","Specified","","",""
"SEC-INF-018","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-018","Specified","","",""
"SEC-INF-019","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-019","Specified","","",""
"SEC-INF-020","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-020","Specified","","",""
"SEC-INF-021","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-021","Specified","","",""
"SEC-INF-022","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-022","Specified","","",""
"SEC-INF-023","SECURITY_REQUIREMENTS.md","2;6;10;11","AC-OPS;AC-VER","T-SEC-INF-023","Specified","","",""
